userID	movieID	rating
75	3	5.9
75	296	4.45
75	353	7.0
75	420	1.65
75	589	4.2
75	653	2.85
75	920	8.7
75	996	2.55
75	1127	3.6
75	1215	6.9
75	1233	9.0
75	1370	4.05
75	1374	3.9
75	1527	3.15
75	1917	5.1
75	2011	6.0
75	2054	6.1
75	2490	2.9
75	2571	3.7
75	2640	4.0
75	2688	2.15
75	2700	7.0
75	3793	3.5
75	3994	6.2
75	4993	4.05
75	5107	2.25
75	5952	4.2
75	6213	2.5
75	6333	3.7
75	7000	1.8
75	7007	5.1
75	7153	4.3
75	32587	0.0
75	33437	3.1
75	45722	3.0
78	17	3.95
78	29	7.0
78	32	0.0
78	110	3.5
78	111	4.35
78	150	4.0
78	162	4.15
78	198	3.0
78	223	3.7
78	235	3.95
78	272	3.9
78	296	4.45
78	305	2.4
78	314	7.8
78	318	4.0
78	327	2.45
78	357	3.75
78	468	2.9
78	480	3.6
78	515	4.2
78	527	4.4
78	541	0.0
78	589	4.2
78	590	3.5
78	608	8.4
78	720	0.0
78	728	3.75
78	741	3.7
78	750	4.5
78	760	3.55
78	800	0.0
78	858	4.5
78	904	4.45
78	908	9.0
78	909	4.15
78	920	4.35
78	924	4.4
78	969	4.35
78	1019	7.7
78	1041	4.3
78	1080	4.1
78	1085	3.2
78	1089	4.45
78	1090	3.9
78	1095	4.25
78	1097	4.45
78	1136	3.9
78	1150	4.0
78	1172	3.95
78	1175	3.8
78	1178	4.3
78	1186	3.95
78	1189	4.35
78	1196	4.3
78	1198	0.0
78	1200	4.4
78	1201	4.35
78	1202	4.15
78	1206	0.0
78	1210	3.35
78	1215	6.9
78	1217	4.35
78	1219	4.45
78	1225	4.3
78	1234	4.05
78	1238	4.4
78	1243	3.15
78	1244	4.3
78	1246	3.6
78	1253	4.0
78	1254	9.0
78	1259	3.9
78	1262	0.0
78	1265	3.95
78	1270	4.2
78	1272	4.1
78	1273	3.7
78	1274	3.65
78	1276	4.4
78	1278	4.25
